,SSP1,SSP2,SSP3,SSP4,SSP5
2017,1.3,1.4,1.1,1.5,1.5
2018,1.3,1.4,1.1,1.5,1.5
2019,1.3,1.4,1.1,1.5,1.5
2020,1.3,1.4,1.1,1.5,1.5
2021,1.3,1.4,1.1,1.5,1.5
2022,1.3,1.4,1.1,1.5,1.5
2023,1.3,1.4,1.1,1.5,1.5
2024,1.3,1.4,1.1,1.5,1.5
2025,1.3,1.4,1.1,1.5,1.5
2026,1.3,1.4,1.1,1.5,1.5
2027,1.3,1.4,1.1,1.5,1.5
2028,1.3,1.4,1.1,1.5,1.5
2029,1.3,1.4,1.1,1.5,1.5
2030,1.3,1.4,1.1,1.5,1.5
2031,1.3,1.4,1.1,1.5,1.5
2032,1.3,1.4,1.1,1.5,1.5
2033,1.3,1.4,1.1,1.5,1.5
2034,1.3,1.4,1.1,1.5,1.5
2035,1.3,1.4,1.1,1.5,1.5
2036,1.3,1.4,1.1,1.5,1.5
2037,1.3,1.4,1.1,1.5,1.5
2038,1.3,1.4,1.1,1.5,1.5
2039,1.3,1.4,1.1,1.5,1.5
2040,1.3,1.4,1.1,1.5,1.5
2041,0.9,0.9,0.4,0.9,1.7
2042,0.9,0.9,0.4,0.9,1.7
2043,0.9,0.9,0.4,0.9,1.7
2044,0.9,0.9,0.4,0.9,1.7
2045,0.9,0.9,0.4,0.9,1.7
2046,0.9,0.9,0.4,0.9,1.7
2047,0.9,0.9,0.4,0.9,1.7
2048,0.9,0.9,0.4,0.9,1.7
2049,0.9,0.9,0.4,0.9,1.7
2050,0.9,0.9,0.4,0.9,1.7
2051,0.9,0.9,0.4,0.9,1.7
2052,0.9,0.9,0.4,0.9,1.7
2053,0.9,0.9,0.4,0.9,1.7
2054,0.9,0.9,0.4,0.9,1.7
2055,0.9,0.9,0.4,0.9,1.7
2056,0.9,0.9,0.4,0.9,1.7
2057,0.9,0.9,0.4,0.9,1.7
2058,0.9,0.9,0.4,0.9,1.7
2059,0.9,0.9,0.4,0.9,1.7
2060,0.9,0.9,0.4,0.9,1.7
2061,0.9,0.9,0.4,0.9,1.7
2062,0.9,0.9,0.4,0.9,1.7
2063,0.9,0.9,0.4,0.9,1.7
2064,0.9,0.9,0.4,0.9,1.7
2065,0.9,0.9,0.4,0.9,1.7
2066,0.9,0.9,0.4,0.9,1.7
2067,0.9,0.9,0.4,0.9,1.7
2068,0.9,0.9,0.4,0.9,1.7
2069,0.9,0.9,0.4,0.9,1.7
2070,0.9,0.9,0.4,0.9,1.7
2071,0.9,0.9,0.4,0.9,1.7
2072,0.9,0.9,0.4,0.9,1.7
2073,0.9,0.9,0.4,0.9,1.7
2074,0.9,0.9,0.4,0.9,1.7
2075,0.9,0.9,0.4,0.9,1.7
2076,0.9,0.9,0.4,0.9,1.7
2077,0.9,0.9,0.4,0.9,1.7
2078,0.9,0.9,0.4,0.9,1.7
2079,0.9,0.9,0.4,0.9,1.7
2080,0.9,0.9,0.4,0.9,1.7
2081,0.9,0.9,0.4,0.9,1.7
2082,0.9,0.9,0.4,0.9,1.7
2083,0.9,0.9,0.4,0.9,1.7
2084,0.9,0.9,0.4,0.9,1.7
2085,0.9,0.9,0.4,0.9,1.7
2086,0.9,0.9,0.4,0.9,1.7
2087,0.9,0.9,0.4,0.9,1.7
2088,0.9,0.9,0.4,0.9,1.7
2089,0.9,0.9,0.4,0.9,1.7
2090,0.9,0.9,0.4,0.9,1.7
2091,0.9,0.9,0.4,0.9,1.7
2092,0.9,0.9,0.4,0.9,1.7
2093,0.9,0.9,0.4,0.9,1.7
2094,0.9,0.9,0.4,0.9,1.7
2095,0.9,0.9,0.4,0.9,1.7
2096,0.9,0.9,0.4,0.9,1.7
2097,0.9,0.9,0.4,0.9,1.7
2098,0.9,0.9,0.4,0.9,1.7
2099,0.9,0.9,0.4,0.9,1.7
2100,0.9,0.9,0.4,0.9,1.7
